Geo_Group,Community,,Geo_ID,N_Violent_19,Crowded_Housing_%_1216,Income_Diversity_1418,Vegetation_Index_17,Vacant_Housing_%_1216,Aerosol_Optical_Depth_17,Overall_Health_Status_%_1618,Foreign_Born_%_1216,Single_Parents_Households1216,Neighborhood_Safety_%_1618,Mobility Rate_2018,65+_%_2018,Total_Population_2018,Total_Population/1000,Big_Community(>66p),%_Poverty_2018,%_0-4_2018,%_5-17_2018,%_0-17,Covid_Cases_0905,Covid_Deaths_0905,Covid_Cases_Rate10k,Covid_Death_Rate10k,Has_Police,N_Active_Business_Licenses,Active_Bus_Rate_10k,Burglary_2019,Burglary_Rate_19_10k,Assault_2019,Assault_Rate_19_10k,Narcotics_2019,Narcotics_Rate_10k,Robbery_2019,Robbery_Rate_10k
21-Avondale,21,Avondale,21,72,4.408936233,64.8,0.2,10.7,0.158,77.7,35.2,9.5,80,9.9,9.9,37368,37.36800,0,19.6,6.2,14.3,20.5,4338,154,1160.88632,310.6632198,1,6569,1757.921216,122,32.64825519,112,29.9721687,35,9.366302719,79,21.1410833
22-Logan Square,22,Logan Square,22,116,3.228662898,64.8,0.21,10.2,0.160,81.1,17.8,8.5,84.9,5.9,6.7,72980.7,72.98070,1,15.0,6.8,12.6,19.4,4440,216,608.3800238,83.36176876,1,9794,1341.998638,263,36.03692483,287,39.3254655,72,9.865622007,136,18.6350638
23-Humboldt Park,23,Humboldt Park,23,254,9.44548588,59.9,0.22,15.3,0.161,66.2,17.7,20.7,48.5,16,8.4,56427,56.42700,1,30.1,9,21.2,30.2,5242,217,928.9878959,164.6353511,1,7418,1314.618888,247,43.7733709,564,99.95215057,1798,318.641785,213,37.7478867
24-West Town,24,West Town,24,172,2.558127076,62.4,0.19,8.2,0.167,88.5,15.8,6,86,9.2,6,84567.3,84.56730,1,12.8,6.2,8.8,15,3104,147,367.0449453,43.40270356,1,9260,1094.985887,383,45.28937308,430,50.84707683,78,9.223423238,243,28.7345109
25-Austin,25,Austin,25,656,4.644985948,59,0.27,13,0.163,77,5,18.5,59.6,19.2,13.1,95260,95.26000,1,29.2,7.5,18,25.5,4414,166,463.3634264,48.64197212,1,3859,405.1018266,412,43.25005249,1301,136.5735881,1228,128.9103506,603,63.3004409
26-West Garfield Park,26,West Garfield Park,26,221,8.28313253,50.7,0.27,29.5,0.157,61.7,0.8,26.9,46,23,11.3,17155,17.15500,0,43.8,10.3,21.4,31.7,566,18,329.9329642,192.3246658,0,515,300.2040222,112,65.28708831,341,198.7758671,1610,938.5018945,255,148.6447100
27-East Garfield Park,27,East Garfield Park,27,211,5.630955819,50.6,0.27,17.6,0.167,71.2,1.7,22.9,60.6,13.7,9.5,20004,20.00400,0,43.8,7.8,21.3,29.1,1042,33,520.8958208,260.3958313,1,1395,697.3605279,117,58.48830234,413,206.4587083,651,325.434913,205,102.4795041
28-Near West Side,28,Near West Side,28,197,3.945495944,65.3,0.18,8.8,0.170,87.9,17.1,6.1,82.6,6.8,7.2,62872,62.87200,1,23.8,5.8,9.1,14.9,2394,76,380.7736353,60.56330884,1,8399,1335.88879,208,33.08308945,681,108.3153073,201,31.96971625,302,48.0341010
29-North Lawndale,29,North Lawndale,29,347,5.002689618,52.6,0.27,23.7,0.167,82.1,3.3,27.1,45.9,17.8,9.8,35947,35.94700,0,42.4,7.7,21.4,29.1,4206,120,1170.055916,325.4947327,1,4233,1177.566974,204,56.7502156,687,191.1146966,2003,557.2092247,342,95.1400673
30-South Lawndale,30,South Lawndale,30,187,14.28571429,56.6,0.21,15.5,0.160,75,38.5,19.3,51.9,9.9,6.6,74851,74.85100,1,33.6,7.6,21.1,28.7,4980,124,665.3217726,88.88615684,1,4309,575.6770117,136,18.16942993,371,49.56513607,322,43.01879734,144,19.2382199
31-Lower West Side,31,Lower West Side,31,79,6.792835417,61.7,0.14,13,0.173,81.2,35,12.7,69.8,11.5,9.9,32888,32.88800,0,24.3,5.2,16.9,22.1,1407,57,427.8156166,130.0825884,1,2969,902.7608854,84,25.54123084,194,58.98808076,73,22.19654585,63,19.1559231
32-Loop,32,Loop,32,60,2.331466724,59.4,0.19,16,0.179,92.3,21.6,1.4,87.9,12.6,10.2,35880,35.88000,0,13.3,3.7,2.9,6.6,711,7,198.1605351,55.22868872,0,7653,2132.943144,82,22.85395764,513,142.9765886,104,28.98550725,256,71.3489409
